Position_X, Position_Y, Position_Z, Rotation_X, Rotation_Y, Rotation_Z
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
13.85,0, -4.18,0,0, 0,
